inicio,fin,dias,pico,z_msavi,mes_z,alerta_roja,desastre,veredicto,damnificados,evaluable,tiene_etapa2,en_curso
1982-08-30,1983-11-24,451,4.227677052367329,,,True,FEN 1982-83,DESASTRE MAYOR,,True,False,False
1987-01-29,1988-01-01,337,1.3037422048010727,,,False,,SIN DAÑO REGISTRADO,,True,False,False
1992-03-24,1992-07-03,101,1.7173721654304062,,,False,,SIN DAÑO REGISTRADO,,True,False,False
1993-04-15,1993-06-12,58,0.8713645597686873,,,False,,SIN DAÑO REGISTRADO,,True,False,False
1993-07-14,1993-07-24,10,0.4621618429978506,,,False,,SIN DAÑO REGISTRADO,,True,False,False
1994-11-05,1995-02-20,107,0.7791256222712682,,,False,,SIN DAÑO REGISTRADO,,True,False,False
1997-04-15,1998-10-02,535,3.8217689714891074,,,True,FEN 1997-98,DESASTRE MAYOR,,True,False,False
1998-10-19,1998-11-10,22,0.744496791143908,,,False,,SIN DAÑO REGISTRADO,,True,False,False
2001-04-14,2001-05-02,18,0.9730626889437186,,,False,,SIN DAÑO REGISTRADO,,True,False,False
2002-03-31,2002-06-16,77,1.0184757853343103,,,False,,SIN DAÑO REGISTRADO,,True,False,False
2002-10-22,2003-01-18,88,1.3666326648689848,,,False,,SIN DAÑO REGISTRADO,18.0,True,False,False
2003-11-24,2004-01-03,40,0.7702592157200073,,,False,,COBERTURA DUDOSA,,False,False,False
2004-11-17,2004-12-14,27,0.9393717830155245,,,False,,COBERTURA DUDOSA,,False,False,False
2006-03-05,2006-03-20,15,0.840357709479706,,,False,,SIN DAÑO REGISTRADO,174.0,True,False,False
2006-08-22,2007-02-14,176,1.617807227434542,,,False,,SIN DAÑO REGISTRADO,235.0,True,False,False
2008-03-16,2008-04-30,45,0.8958944051475419,,,False,Desastre Menor (2008),DESASTRE MENOR,4345.0,True,False,False
2008-06-19,2008-10-31,134,1.3187925835304701,,,False,,SIN DAÑO REGISTRADO,30.0,True,False,False
2009-06-01,2009-06-04,3,0.47484330416273246,,,False,,SIN DAÑO REGISTRADO,0.0,True,False,False
2009-06-26,2009-10-07,103,1.0500515361269218,,,False,,SIN DAÑO REGISTRADO,0.0,True,False,False
2010-01-02,2010-01-17,15,0.6290847618021462,,,False,,SIN DAÑO REGISTRADO,905.0,True,False,False
2010-04-27,2010-05-21,24,0.6787220736607289,,,False,,SIN DAÑO REGISTRADO,24.0,True,False,False
2012-04-29,2012-07-27,89,1.3689394723862638,,,False,,SIN DAÑO REGISTRADO,1831.0,True,False,False
2012-09-24,2012-10-04,10,0.5738698509388166,,,False,,SIN DAÑO REGISTRADO,12.0,True,False,False
2014-06-02,2014-10-30,150,1.4723685394122905,-0.5468366144560214,2014-12-01,False,,SIN DAÑO REGISTRADO,250.0,True,True,False
2014-11-27,2014-12-12,15,0.7066681455255354,-0.5468366144560214,2014-12-01,False,,SIN DAÑO REGISTRADO,618.0,True,True,False
2015-04-17,2016-04-29,378,2.5126737907328254,1.367404167454256,2015-04-01,False,Desastre Menor (2015),DESASTRE MENOR,3214.0,True,True,False
2016-08-18,2016-08-22,4,0.44689866368255976,0.00264187421297102,2016-09-01,False,,SIN DAÑO REGISTRADO,0.0,True,True,False
2016-09-28,2016-11-02,35,0.612390423992053,0.00264187421297102,2016-09-01,False,,SIN DAÑO REGISTRADO,0.0,True,True,False
2017-01-18,2017-05-28,130,2.0322498205162707,3.3535535524594358,2017-03-01,True,Niño costero 2017,DESASTRE MAYOR,72965.0,True,True,False
2018-11-28,2019-04-05,128,0.9633654121893537,1.0955093340047453,2019-03-01,False,,SIN DAÑO REGISTRADO,894.0,True,True,False
2019-04-22,2019-05-09,17,0.4633804007885582,0.2813191971413015,2019-06-01,False,,SIN DAÑO REGISTRADO,37.0,True,True,False
2020-04-07,2020-04-22,15,0.6541806863454541,-0.509769394503263,2020-06-01,False,,SIN DAÑO REGISTRADO,1.0,True,True,False
2023-03-03,2024-03-30,393,3.3187050954274437,3.6898202579540254,2023-04-01,True,,COBERTURA DUDOSA,,False,True,False
2025-03-10,2025-05-06,57,1.2935286681526101,0.7083096129974145,2025-07-01,False,,SIN DAÑO REGISTRADO,,True,True,False
2025-06-26,2025-08-22,57,0.5552156076931819,0.8048459748864122,2025-08-01,False,,SIN DAÑO REGISTRADO,,True,True,False
2026-03-01,2026-08-15,167,3.8422056394483644,0.9701134011859085,2026-03-01,False,,EN CURSO,,False,True,True
